Time,M1SupplyVoltage,M1Current,M1Speed,M2SupplyVoltage,M2Current,M2Speed
1.870000,4.416044,0.082637,-25.024941,4.416044,0.069451,24.383276,
1.880000,4.159780,0.086154,-25.024941,4.159780,0.070330,25.024941,
1.890000,4.831868,0.085275,-25.666607,4.831868,0.069451,24.383276,
1.900000,4.309670,0.085275,-25.024941,4.309670,0.071209,25.024941,
1.910000,4.503077,0.083516,-25.024941,4.503077,0.075604,25.024941,
1.920000,4.773846,0.082637,-25.666607,4.773846,0.073846,24.383276,
1.930000,4.082417,0.086154,-25.024941,4.082417,0.072967,25.024941,
1.940000,3.932528,0.025495,-25.024941,3.932528,0.008791,24.383276,
1.950000,3.772967,0.025495,-24.383276,3.772967,0.008791,23.741611,
1.960000,3.449011,0.027253,-23.741611,3.449011,0.007033,23.099946,
1.970000,3.951868,0.023736,-23.741611,3.951868,0.006154,23.099946,
1.980000,3.594066,0.026374,-21.816616,3.594066,0.005275,21.174950,
1.990000,3.458681,0.025495,-21.816616,3.458681,0.005275,21.174950,
2.000000,3.835824,0.024615,-21.174950,3.835824,0.006154,20.533285,
2.010000,3.386154,0.026374,-20.533285,3.386154,0.006154,19.249955,
2.020000,3.666593,0.025495,-19.891620,3.666593,0.005275,19.249955,
2.030000,3.782637,0.026374,-19.249955,3.782637,0.007033,17.966625,
2.040000,3.526374,0.026374,-18.608290,3.526374,0.006154,17.966625,
2.050000,4.125934,0.027253,-17.966625,4.125934,0.005275,16.683294,
2.060000,3.661758,0.026374,-17.324959,3.661758,0.007033,16.683294,
2.070000,2.032308,0.027253,-16.683294,2.032308,0.005275,15.399964,
2.080000,3.980879,0.026374,-16.683294,3.980879,0.007033,15.399964,
2.090000,3.545714,0.027253,-15.399964,3.545714,0.006154,14.116634,
2.100000,4.024395,0.027253,-15.399964,4.024395,0.005275,14.116634,
2.110000,3.690769,0.026374,-14.758299,3.690769,0.007912,13.474968,
2.120000,3.661758,0.026374,-19.249955,3.661758,0.006154,17.966625,
2.130000,3.613406,0.026374,-14.116634,3.613406,0.006154,12.833303,
2.140000,3.903516,0.027253,-12.833303,3.903516,0.005275,11.549973,
2.150000,3.400659,0.027253,-12.191638,3.400659,0.007033,10.908308,
2.160000,3.860000,0.027253,-12.833303,3.860000,0.007033,10.908308,
2.170000,3.850330,0.026374,-11.549973,3.850330,0.007033,10.266643,
2.180000,3.521538,0.026374,-10.908308,3.521538,0.005275,9.624977,
2.190000,4.130769,0.027253,-10.266643,4.130769,0.005275,8.983312,
2.200000,3.652088,0.026374,-9.624977,3.652088,0.007033,8.341647,
2.210000,3.623077,0.027253,-9.624977,3.623077,0.007033,8.341647,
2.220000,3.951868,0.026374,-8.983312,3.951868,0.007033,7.699982,
2.230000,3.400659,0.027253,-8.983312,3.400659,0.005275,7.699982,
2.240000,4.048571,0.025495,-8.341647,4.048571,0.007033,7.058317,
2.250000,3.768132,0.026374,-8.341647,3.768132,0.007912,6.416652,
2.260000,3.565055,0.026374,-7.058317,3.565055,0.005275,6.416652,
2.270000,4.024395,0.026374,-7.058317,4.024395,0.007912,5.774986,
2.280000,3.497362,0.026374,-7.058317,3.497362,0.007033,5.774986,
2.290000,3.816483,0.026374,-6.416652,3.816483,0.005275,5.133321,
2.300000,3.879341,0.026374,-5.774986,3.879341,0.006154,4.491656,
