α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
3.109978,-2.259756,0,0,0.140060,-0.125673,0.000128,0.000000,0.001283,0.007754,0.139574,0.139574,0.000000,0.000000,0.000486,0.000486
3.110482,-2.259401,0,0,0.127573,-0.114469,0.000128,0.000000,0.001283,0.007250,0.130506,0.130506,0.000000,0.000000,-0.002933,-0.002933
3.111175,-2.259692,0,0,0.116502,-0.104535,0.000128,0.000000,0.001283,0.006557,0.118026,0.118026,0.000000,0.000000,-0.001523,-0.001523
3.111444,-2.259685,0,0,0.113537,-0.101875,0.000128,0.000000,0.001283,0.006287,0.113172,0.113172,0.000000,0.000000,0.000365,0.000365
3.110699,-2.259656,0,0,0.128361,-0.115176,0.000128,0.000000,0.001283,0.007033,0.126587,0.126587,0.000000,0.000000,0.001774,0.001774
3.110932,-2.260236,0,0,0.122798,-0.110184,0.000128,0.000000,0.001283,0.006799,0.122390,0.122390,0.000000,0.000000,0.000408,0.000408
3.112294,-2.262108,0,0,0.088351,-0.079276,0.000128,0.000000,0.001283,0.005438,0.097886,0.097886,0.000000,0.000000,-0.009534,-0.009534
3.117584,-2.261522,0,0,-0.022874,0.020524,0.000128,0.000000,0.001283,0.000148,0.002661,0.002661,0.000000,0.000000,-0.025535,-0.025535
3.126850,-2.261988,0,0,-0.194233,0.174282,0.000000,0.000000,0.000000,-0.009118,-0.164121,-0.164121,-0.000000,-0.000000,-0.030112,-0.030112
3.139151,-2.262535,0,-156,-0.429488,0.385372,-0.038500,0.000000,-0.382432,-0.021419,-0.385543,-0.385543,-0.000000,-0.000000,-0.043945,-0.043945
3.128491,-2.267801,-3,-5,-0.091458,0.082064,-0.119735,0.000000,-1.128047,-0.010759,-0.193668,-0.193668,-0.000000,-0.000000,0.102210,0.102210
3.117681,-2.278055,1,0,-0.106459,0.095523,-0.124098,0.000000,-1.135747,0.000051,0.000923,0.000923,0.000000,0.000000,-0.107381,-0.107381
-3.133272,-2.269850,-6,-2,-0.625874,0.561586,-0.156823,0.000000,-1.434763,-0.032182,-0.579268,-0.579268,-0.000000,-0.000000,-0.046606,-0.046606
3.118784,-2.265268,-6,-5,0.049932,-0.044803,-0.189548,0.000000,-1.600313,-0.001053,-0.018947,-0.018947,-0.000000,-0.000000,0.068879,0.068879
-3.140909,-2.265367,-2,-45,-0.625267,0.561041,-0.246528,0.000000,-2.118778,-0.024545,-0.441802,-0.441802,-0.000000,-0.000000,-0.183465,-0.183465
